TITLE,DATE,TEXT,UID
"Week in Review",10 FEB 3305,"Here are this week’s main stories.

 A Federal Navy vessel has discovered an unregistered outpost with all occupants murdered. According to the Federal Intelligence Agency, early evidence suggests the outpost was dedicated to advanced nuclear research. 

 The Ambrose Foundation, a multi-billion credit institution, has lost its entire fortune, prompting security services to investigate a possible data hack. Family heiress Lady Talitha Ambrose has also disappeared, fuelling fears of abduction by those responsible for the loss of her inheritance.

 Meanwhile, a commodity drive to revive technology company Supratech has ended successfully. Scorpio DeVorrow, the company’s CEO, announced that the efforts had brought the company back from the brink and secured its future. 

 In other news, President Gibson Kincaid has used Nova Imperium to illustrate potential threats to the Alliance. Kincaid argued that the rise of such radical movements demonstrated how the other superpowers might turn against the Alliance.

 Finally, Dr Roy Casimir of the Holloway Bioscience Institute has announced plans to build a research centre focusing on new life forms discovered by the galactic community. Dr Casimir said the development of the Codex had led to a number of xenological discoveries, and that the institute intended to construct a dedicated scientific facility to analyse these lifeforms.

 And those are the main stories this week.",https://community.elitedangerous.com/en/galnet/uid/5c5d60976b482b092d064df1
"Ambrose Foundation Bankrupted Overnight",09 FEB 3305,"The family-run Ambrose Foundation, a multi-billion credit institution, has lost its entire fortune in a single day.

 Business analyst Marlon Royce reported on Vox Galactica:

 “The Ambrose Foundation combines the wealth of several centuries-old royal and noble houses. It is primarily involved in corporate investment and occasional charity work.”

 “All of that changed abruptly when its accountants announced the loss of 100% of all assets, worth nearly three hundred billion credits. Inexplicably, everything the foundation owned has been liquidated and transferred to anonymous accounts at banks scattered throughout the galaxy.”

 “Local security services are investigating a possible data hack. But of greater concern is the disappearance of family heiress Lady Talitha Ambrose. Some fear she has been kidnapped and forced to provide authorisation codes to her colossal inheritance.”",https://community.elitedangerous.com/en/galnet/uid/5c5b04c165f38b692e2ea038
"Secret Research Outpost Attacked",08 FEB 3305,"A Federal Navy vessel has reported the discovery of an unregistered outpost with all occupants murdered, following a response to an automatic distress signal.

 The incident is being investigated by the Federal Intelligence Agency. Senior Agent Rochelle Karim made the following statement:

 “This remote lunar base was designed to prevent detection, and yet it has been located and invaded by unknown forces who chose to gun down its inhabitants. It appears access codes were used to bypass security systems, as there are no signs of forced entry.”

 “Initial findings suggest the outpost was dedicated to advanced nuclear research. This may have been a targeted attack in order to steal a power source, a weapon, or valuable data.” 

 “We are conducting a thorough examination of the site, and expect to learn more soon.”",https://community.elitedangerous.com/en/galnet/uid/5c5d9d27c9fc306cf10a1310
"Kincaid Raises Concerns after Nova Imperium",07 FEB 3305,"President Gibson Kincaid has sought to illustrate potential threats to the Alliance, highlighting isolationist group Nova Imperium as an example. Speaking to the Alliance Tribune, President Kincaid said:

 “The rise of such radical beliefs demonstrates how quickly the other superpowers might turn against us. Had the recent military conflict ended differently, the Empire would have callously abandoned humanity's united struggle against the Thargoid threat.”

 “All other leaders are looking elsewhere, pretending Nova Imperium never happened. But I have the courage to give a voice to our people’s fears. The Alliance must prepare to stand alone against any aggressor, whether human or alien!”

 Prime Minister Edmund Mahon later released a brief response:

 “I remind President Kincaid that his focus should be on diplomatic duties, as agreed by the Assembly. Inter-superpower cooperation against the Thargoids remains unchanged, and the Empire’s internal politics do not concern the Alliance.”",https://community.elitedangerous.com/en/galnet/uid/5c5b031165f38b7af755b616
"Week in Review",02 FEB 3305,"Here are this week’s main stories.

 Pharmaceutical giant Vandermeer Corporation has won the licence to distribute Vitadyne Labs’s nanomedical product. In a statement, Professor Katrien Rook said the organisation’s infrastructure and supply routes meant the nanomeds would soon be available to the galactic community.

 Hadrian Augustus Duval has broadcast a message following the purge of isolationist group Nova Imperium, vowing to continue to pursue his claim on the Imperial throne. During the transmission, Duval claimed to have assumed the title of the recently executed Imperator Kaeso Modanticus, and accused Arissa Lavigny-Duval’s regime of brutality and terror. 

 In other news, actor Consuela Knight, who recently vanished from her private yacht along with its crew, has been located at a luxury retreat. When questioned, Ms Knight admitted that her disappearance was an elaborate hoax designed to enhance her ailing career. Many of Knight’s fans have disputed this account, but authorities have accepted the explanation.

 And finally, billionaire investor Lexi October has announced plans to save technology company Supratech from bankruptcy by funding a commodity drive. October confessed an admiration for the company’s imagination and expertise, and said she hoped the enterprise would provide Supratech with the materials necessary to resume its innovative work.

 And those are the main stories this week.",https://community.elitedangerous.com/en/galnet/uid/5c52e012c438fc7c3543d7e8
"The New Imperator",31 JAN 3305,"Hadrian Augustus Duval has broadcast a message following the purge of isolationist group Nova Imperium:

 “Arissa Lavigny-Duval has revealed the true face of her regime – one based on brutality and terror. The callous execution of Imperator Mordanticus, in conjunction with thousands of Imperial citizens, shows her desperation to cling onto power at any cost.”

 “Nova Imperium survives in the Paresa system, a single light in the darkness. We stand for an Empire that respects everyone, from slaves to senators. I truly hope that any who value honour and tradition will help keep our spark alive.”

 “Our martyred leader will never be forgotten. In his honour, I have taken the title of Imperator Duval, until such time as the people choose me as their rightful emperor.” 

 “Memento Mordanticus!”",https://community.elitedangerous.com/en/galnet/uid/5c52c4a1231ede6f495e2c75
"The Fall of Nova Imperium",26 JAN 3305,"Security forces across the Empire have carried out a coordinated purge of the isolationist group Nova Imperium.

 Political journalist Cassia Carvalho reported:

 “Yesterday’s executions in the Senate were apparently only the beginning of a coordinated massacre. Nova Imperium members are being put to death, and citizens who supported them are being arrested for treason. In a single day, the isolationist cause has been crushed.”

 “It seems that Emperor Arissa Lavigny-Duval – while being accused of weakness – has simply been playing for time, allowing Senator Patreus to position his agents for a simultaneous strike. With this show of strength, the Emperor has done much to silence her detractors.”

 “Despite reactions of horror from some newsfeeds, Alliance and Federal leaders have made no official comment, perhaps relieved that inter-superpower cooperation against the Thargoids will continue.”

 “Nova Imperium remains in control of the Paresa system, but with the organisation’s power base destroyed, it no longer poses a threat to the Imperial throne.”",https://community.elitedangerous.com/en/galnet/uid/5c485cf6d5465145571d1c84
"Blood on the Senate Floor",25 JAN 3305,"Kaeso Mordanticus, the captured leader of isolationist group Nova Imperium, has been brought before the Imperial Senate, with unexpected results.

 Political journalist Cassia Carvalho was at the scene:

 “Imperator Mordanticus was led into Senate House in shackles but still defiant. All rose as Emperor Arissa Lavigny-Duval entered, attended by Senator Denton Patreus. The Emperor and Patreus approached Mordanticus silently, whereupon Patreus executed the Imperator with his personal sidearm.”

 “Suddenly, the Imperial Guard opened fire, gunning down senators Pal Vespasian and Eloise Winterstone, and others who had supported the isolationist cause.”

 “Once the initial shock had subsided, the Emperor stood over the Imperator’s body. In a clear voice she announced: ‘There is no Nova Imperium. There is only the Empire.’” 

 “I have since heard reports of mass arrests and further public executions across Capitol. The rumour is that Patreus placed agents among Nova Imperium strongholds, which are now being eliminated from within. This may be the start of an Empire-wide purge.”",https://community.elitedangerous.com/en/galnet/uid/5c485c99128401188a499c82
"Commercial Travel Impacted by Hyperspace Fears",24 JAN 3305,"The mysterious disappearance of actor Consuela Knight and the crew of her yacht has affected confidence in commercial space travel.

 Independent newsfeed The Sovereign reported:

 “Consuela Knight’s empty ship pulling into port has caused unease in consumer markets. Rumours of abductions and disintegrations while in hyperspace have negatively impacted many businesses.”

 “Ship manufacturer Saud Kruger has said that sales of customised luxury yachts, such as Ms Knight’s, have plummeted. Cruise bookings with Astrogator Tours are being cancelled, while commercial operators have reported a drop in passenger numbers.”

 “Plans are underway for a memorial service to honour Consuela Knight’s career. But her real legacy is the fear that her fate could befall any interstellar traveller.”",https://community.elitedangerous.com/en/galnet/uid/5c485c30d546510f7078f47b
"Mystery of Missing Crew Sparks Rumours",19 JAN 3305,"The disappearance of famous actor Consuela Knight and the crew of her luxury yacht has sparked a flood of rumours.

 Independent reporter Flint ‘Firemaker’ Lafosse discussed the mystery on the Rewired news feed:

 “The scientists say this might be an anomaly that only affects organic tissue. But that doesn’t explain the discovery of Consuela Knight’s half-eaten meal, does it?” 

 “Others think it could be a new Thargoid weapon that disintegrates humans while leaving ships intact. Or maybe the cultists were right, and the Far God has started snacking on individuals before it arrives to eat the whole universe.”

 “For all we know, this has been happening to ships for years. Maybe it usually gets hushed up, which is harder to do when a big-name celebrity vanishes. Which of us might be next? Think about that next time you jump into hyperspace…”",https://community.elitedangerous.com/en/galnet/uid/5c41c2b1e04b92731143f4a9
