TITLE,DATE,TEXT,UID
"Starport Status Update",06 FEB 3304,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are on the brink of closure:

 Noctrach-Ihazevich Research Facility, Pleiades Sector AB-W b2-4

 Novitski Horizons, Addovii",https://community.elitedangerous.com/en/galnet/uid/5a79c7913edd513a167d0c82
"Alliance Initiative",02 FEB 3304,"The Alliance has announced plans to build an Orbis starport in the Synuefai EB-R c7-5 system, between the core systems and the Alliance’s outposts in the California Nebula.

 Alliance official Torvan Dast issued the following statement:

 “The remoteness of our California Nebula outposts makes reaching them a potentially dangerous proposition. This new starport will bridge the gap between the settlements and the galactic core, and lessen the risk to ships journeying to and from the California Nebula.”

 The initiative is being overseen by the LP 128-32 Corporation, which has placed an open order for various raw materials for use in the construction. The organisation has also placed a kill order on all ships on its wanted list, to ensure that those contributing material to the campaign can do so safely.

 The campaign begins on the 1st of February 3304 and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/5a73324ae0c5d750f8229b51
"Galactic Community Comes to Aid of Dove Enigma",01 FEB 3304,"An attempt to sabotage the Dove Enigma, a Wells-class Carrier based in the Colonia system, has been thwarted by the galactic community.

 The would-be saboteurs tried to destabilise the vessel by flooding its black market with Thargoid Sensors, which have the capacity to damage ships and starports. Fortunately, the assault was countered by a group of pilots who delivered large quantities of meta-alloys to the ailing ship, thereby stabilising it.

 The Dove Enigma was specially commissioned by the Colonia Council as a commemorative gesture for the pilot Commander DoveEnigma13, and as such is of personal significance to many. The ship is also the destination of the Enigma Expedition, a collective mission currently charting a course to the Colonia system.

 An engineer stationed at the Dove Enigma gave the following statement:

 “We’ve received more than enough meta-alloys to stabilise the ship, and the surplus will allow us to safeguard against any further sabotage attempts. We’re hugely grateful to the pilots who came to our aid. Their efforts are a testament the compassion of the galactic community.”",https://community.elitedangerous.com/en/galnet/uid/5a71bb0545e8214e4a4f1682
"Starport Status Update",31 JAN 3304,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are on the brink of closure:

 Salgari Enterprise, Mawa

 Regiomontanus Dock, Tjapurnaru

 Vonarburg Port, Maridal

 Hind Mine, T Tauri",https://community.elitedangerous.com/en/galnet/uid/5a7054b8e3bcb431820f7508
"Starport Status Update",26 JAN 3304,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are currently closed:

 The Pit, Pennsylvania

 Bell Orbital, Gilya

 Meanwhile, the following starports are on the brink of closure:

 Tygerlily-Merlyn Pleasuredome, Cardea

 Suri Gateway, Vesuvit",https://community.elitedangerous.com/en/galnet/uid/5a69d06b9821de463a75cfa1
"HIP 17692 Operation Concludes",19 JAN 3304,"Admiral Denton Patreus has announced that the joint Federal-Imperial operation in the HIP 17692 system has reached a successful conclusion. Hundreds of pilots supported the campaign by eliminating Thargoids in the system and by rescuing people from Thargoid attack sites. Those rescued during the operation are now recovering at Blackmount Orbital.

 As the campaign drew to a close, Admiral Denton Patreus released the following statement:

 “This campaign would not have succeeded without the support of the galaxy’s independent combat pilots, to whom we all owe a debt of gratitude. Thanks are also due to the Merope Expeditionary Fleet and the Pleiades Resource Enterprise for coordinating the campaign. But while we may have won the battle, we still have a long way to go if we are to liberate our galaxy from this alien menace.”

 Pilots who contributed to the initiative can now collect their rewards from Blackmount Orbital in the HIP 17692 system.",https://community.elitedangerous.com/en/galnet/uid/5a60b60073f627733619d852
"Starport Status Update",18 JAN 3304,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are currently closed:

 The Pit, Pennsylvania

 Meanwhile, the following starports are on the brink of closure:

 Bell Orbital, Gilya

 Collins Station, Huichi",https://community.elitedangerous.com/en/galnet/uid/5a5f7f25e08a5f0f3c55c89a
"Thargoid Assault Continues",13 JAN 3304,"Reed's Rest in Merope and Obsidian Orbital in Maia are the latest starports to be targeted by the Thargoids.

 Authorities in the affected systems have appealed to independent pilots to deliver foods, water, basic medicines and natural fabrics, and to evacuate civilians from the pertinent starports.

 The attack against Obsidian Orbital is likely to dismay the galactic community, as the starport – the result of a community initiative involving thousands of pilots – is seen by many as a symbol of unity.",https://community.elitedangerous.com/en/galnet/uid/5a58d52808925a374348ba63
"Sirius Inc Campaign Concludes",12 JAN 3304,"Sirius Inc has announced that its construction initiative has been enthusiastically received by the galactic community. Hundreds of pilots supported the campaign by delivering commodities to Green Enterprise in the Ngalia system, and by eliminating agitators in Ngalia, thereby ensuring the safety of traders contributing to the initiative.

 Sirius Inc has extended its gratitude to those who supported the campaign.

 Pilots who contributed to the initiative can now collect their rewards from Green Enterprise in the Ngalia system.",https://community.elitedangerous.com/en/galnet/uid/5a5786d7c9a08a57e15ffe37
"Galactic News: Starport Status Update",10 JAN 3304,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are on the brink of closure:

 Finney Ring, Jitabos

 Barjavel Station, HIP 33368

 The Pit, Pennsylvania",https://community.elitedangerous.com/en/galnet/uid/5a54fc9ada4fd278910f20f5
"Community Goal: Dionysus Rising",05 JAN 3304,"Sirius Inc has announced plans to construct a flight-operations megaship in the 42 n Persei system, which occupies a strategic position on the route to Maia. The vessel, which will be named the Dionysus, will dramatically improve services in 42 n Persei.

 Senior Aide Humberto Guthrie, speaking on behalf of Sirius Inc, released the following statement:

 “We are disturbed by recent events in the Pleiades and the vulnerability of our systems. If the superpowers cannot protect us, we will protect ourselves.”

 In support of this campaign, Sirius Inc has placed an open order for various commodities, and has promised to reward pilots who deliver these goods to Green Enterprise in the Ngalia system. The organisation has also placed a kill order on all ships on its wanted list, to ensure that those delivering commodities to Green Enterprise can do so safely.

 The campaign begins on the 4th of January 3304 and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/5a4e54711ef9ea433636b1e5
