body,type,subType,distanceToArrival,isLandable,gravity,earthMasses,radius,surfaceTemperature,volcanismType,atmosphereType,terraformingState,orbitalPeriod,semiMajorAxis,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt
HIP 19026 A,Star,F (White) Star,0,,,,,6199,,,,138062.79111111,19.419055804088,0.078046,12.386166,17.223696,5.2780982349537,,,
HIP 19026 A 1,Planet,High metal content world,698.290405,,0.96192621245301,0.716923,5506.1735,783,No volcanism,Hot thick Carbon dioxide,Candidate for terraforming,562.78699074074,1.3987815674438,0.000502,-0.046299,77.033043,0.91809705946759,,0.246948,
HIP 19026 A 2,Planet,High metal content world,990.169189,,0.86648660781217,0.549113,5077.319,265,No volcanism,Nitrogen,Candidate for terraforming,950.8487962963,1.9842430085069,2.9E-5,-0.679998,51.156689,1.3823504412616,,0.292821,
HIP 19026 A 3,Planet,Water world,1270.57605,,0.99670224679395,0.772522,5615.0965,264,No volcanism,Nitrogen,Candidate for terraforming,1382.4303703704,2.5465334639419,0.000162,0.017054,313.083923,0.46242282443287,,1.594853,
HIP 19026 A 3 a,Planet,Rocky body,1271.620972,1,0.3047733536663,0.042279,2375.51825,199,No volcanism,No atmosphere,Not terraformable,23.178204571759,0.0021439128678721,,-55.935448,304.82608,23.804008969907,1,-0.027232,
HIP 19026 A 4,Planet,High metal content world,2198.870117,,1.3893966047787,1.74572,7149.2205,424,Minor Silicate Vapour Geysers,Thick Methane-rich,Not terraformable,3146.6318518519,4.4064059048135,0.000316,0.038191,116.401299,1.7815339265046,,2.742789,
HIP 19026 A 4 a,Planet,Rocky body,2199.584717,,0.38918308371348,0.084058,2964.12875,192,No volcanism,Thin Carbon dioxide,Not terraformable,21.139837962963,0.0026404054960924,,-67.356514,211.986526,21.642808159722,1,-0.263384,
HIP 19026 A 5,Planet,High metal content world,3359.79248,,2.1121664072877,4.528369,9338.806,370,Major Silicate Vapour Geysers,Thick Methane-rich,Not terraformable,982.235,0.011091899478486,0.004266,5.185512,172.084549,1.8094699435764,,2.622268,
HIP 19026 A 5 a,Planet,Rocky body,3356.927979,,0.53892645504932,0.20556,3939.028,129,No volcanism,Thin Neon-rich,Not terraformable,51.421730324074,0.0065560424049538,,-13.217013,163.010605,52.575896990741,1,-0.410942,
HIP 19026 A 6,Planet,High metal content world,3353.286377,,1.2304585015515,1.320628,6607.5625,140,Major Rocky Magma,Nitrogen,Not terraformable,982.235,0.03976006623736,0.004266,5.185512,352.084534,0.90802598741898,,-0.170448,
HIP 19026 A 7,Planet,Class I gas giant,4797.408691,,0.8469150274459,30.960613,38562.872,110,No volcanism,No atmosphere,Not terraformable,10131.239259259,9.6079097335441,0.000742,0.499656,118.400986,1.6267417173032,,-0.135736,
HIP 19026 A 7 a,Planet,Icy body,4795.016602,1,0.057773213770551,0.001296,955.26475,98,No volcanism,No atmosphere,Not terraformable,15.235230034722,0.0054491928540531,6.8E-5,0.014672,150.027374,15.236614583333,1,0.451887,
HIP 19026 A 7 b,Planet,Icy body,4802.754883,1,0.049987944633286,0.000835,824.318625,98,No volcanism,No atmosphere,Not terraformable,42.785133101852,0.010846628821703,0.000163,-0.000986,124.805412,-42.789024884259,,-2.414155,
HIP 19026 A 7 c,Planet,Icy body,4792.422363,1,0.040594992483213,0.000455,675.2335,98,No volcanism,No atmosphere,Not terraformable,74.701898148148,0.015727292942011,0.000208,0.094577,35.374752,74.708697916667,1,0.312049,
HIP 19026 A 7 d,Planet,Icy body,4804.390625,1,0.066225356454504,0.001939,1091.343,98,No volcanism,No atmosphere,Not terraformable,186.64962962963,0.028959046620976,0.004894,-0.516493,94.611786,2.9352971281829,,-0.29981,
HIP 19026 B,Star,K (Yellow-Orange) Star,30676.730469,,,,,3811,,,,138062.79111111,42.693267358437,0.078046,12.386166,197.223679,3.0013623046875,,,
HIP 19026 B 1,Planet,Class II gas giant,30807.554688,,3.0887955576341,419.874908,74361.8,216,No volcanism,No atmosphere,Not terraformable,566.82217592593,1.0808730117574,0.000131,0.160575,269.656799,1.2409895833333,,0.460328,
HIP 19026 B 1 a,Planet,Rocky body,30903.533203,,0.12979930635706,0.003855,1099.159,173,No volcanism,Thin Ammonia,Not terraformable,6.0484168836806,0.0070190303851698,0.001537,-0.000569,332.317596,6.0485420283565,1,0.192182,
HIP 19026 B 1 b,Planet,Rocky body,30893.994141,,0.1330686784033,0.004148,1126.0715,170,No volcanism,Thin Ammonia,Not terraformable,22.016507523148,0.0166091810022,0.002379,0.583133,136.792755,22.016960358796,1,0.175515,
HIP 19026 B 1 c,Planet,Rocky body,30803.964844,1,0.12357169891262,0.003337,1048.1009375,169,No volcanism,No atmosphere,Not terraformable,36.442609953704,0.023241044379384,1.1E-5,-4.178119,105.292633,36.443362268519,1,-0.172956,
HIP 19026 B 2,Planet,Class III gas giant,31284.517578,,7.0137377682692,1026.907959,77174.8,311,No volcanism,No atmosphere,Not terraformable,1037.7353703704,1.6175879639175,0.001463,-2.0502,126.718399,1.8678522858796,,0.899791,
HIP 19026 B 2 a,Planet,Rocky body,31286.498047,1,0.1047034154812,0.002035,889.1730625,170,No volcanism,No atmosphere,Not terraformable,3.9528468605324,0.0071218220086604,0.00095,-0.257052,49.535999,-3.952900390625,,1.638029,
HIP 19026 B 2 b,Planet,Rocky body,31286.990234,1,0.09497199926477,0.001536,811.1148125,167,No volcanism,No atmosphere,Not terraformable,5.602562572338,0.0089861899351219,0.00028,-0.024837,315.636597,5.6026385271991,1,-0.317273,
HIP 19026 B 2 c,Planet,Rocky body,31285.451172,1,0.096717451778938,0.001621,825.7025,164,No volcanism,No atmosphere,Not terraformable,8.4567042824074,0.011824566163427,9.6E-5,-0.111066,65.636513,8.4568192997685,1,0.233452,
HIP 19026 B 2 d,Planet,Rocky body,31287.138672,1,0.084923785735491,0.001105,727.530125,160,No volcanism,No atmosphere,Not terraformable,14.164447337963,0.01667698603146,5.5E-5,-0.742679,151.744675,14.164639756944,1,0.054008,
HIP 19026 B 2 e,Planet,Rocky body,31283.777344,1,0.11904468773893,0.00299,1010.7996875,158,No volcanism,No atmosphere,Not terraformable,20.931769386574,0.0216365689221,0.000198,-0.766237,148.165283,20.93205150463,1,-0.08085,
HIP 19026 B 2 f,Planet,Rocky body,31288.945313,,0.13053573914889,0.00392,1105.255875,156,No volcanism,Thin Ammonia,Not terraformable,31.353515625,0.02832535203992,0.001644,-0.106963,155.707474,31.353940972222,1,-0.475486,
HIP 19026 B 3,Planet,Gas giant with ammonia-based life,30936.71875,,1.0650819202404,74.763832,53436.596,132,No volcanism,No atmosphere,Not terraformable,1483.1981481481,2.0524673498311,0.001073,0.095282,322.249725,1.4140202727199,,1.304708,
HIP 19026 B 3 a,Planet,Icy body,30937.097656,1,0.071677969635409,0.002525,1197.07775,115,Major Water Geysers,No atmosphere,Not terraformable,1.7851676432292,0.0017505549696303,1.2E-5,4.8E-5,59.477341,-1.785306712963,,2.530293,
HIP 19026 B 3 b,Planet,Icy body,30932.007813,1,0.074322287819642,0.002833,1245.22625,114,No volcanism,No atmosphere,Not terraformable,6.4761928530093,3.428111293298E-5,0.187498,8.293421,298.705536,20.403059895833,,0.14909,
HIP 19026 B 3 c,Planet,Icy body,30932.033203,1,0.04903836503115,0.00083,829.765875,114,No volcanism,No atmosphere,Not terraformable,6.4761928530093,0.00011694381690153,0.187498,8.293421,118.705551,7.3644936342593,1,-0.169095,
HIP 19026 B 3 d,Planet,Icy body,30928.800781,1,0.065530645878945,0.001943,1098.243625,114,No volcanism,No atmosphere,Not terraformable,13.406404803241,8.832408468231E-5,0.16308,8.435155,348.687775,-21.776906828704,,-2.40715,
HIP 19026 B 3 e,Planet,Icy body,30928.734375,1,0.055344233265946,0.001186,933.664125,114,No volcanism,No atmosphere,Not terraformable,13.406404803241,0.00014472457327563,0.16308,8.435155,168.687775,17.012359664352,1,-0.107709,
HIP 19026 B 4,Planet,Gas giant with ammonia-based life,30693.886719,,1.1104068883212,34.675873,35641.596,116,No volcanism,No atmosphere,Not terraformable,2319.3661111111,2.7651777704079,0.001548,0.1029,22.106594,0.64139707211806,,-0.255801,
