name,updateTime,type,subType,distanceToArrival,isLandable,gravity,earthMasses,radius,surfaceTemperature,volcanismType,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt,orbitalPeriod,semiMajorAxis,SolidComp-Ice,SolidComp-Rock,SolidComp-Metal,isMainStar,isScoopable,age,luminosity,surfaceTemperature,Antimony,Arsenic,Boron,Cadmium,Carbon,Chromium,Germanium,Iron,Lead,Manganese,Mercury,Molybdenum,Nickel,Niobium,Phosphorus,Polonium,Rhenium,Ruthenium,Selenium,Sulphur,Technetium,Tellurium,Tin,Tungsten,Vanadium,Yttrium,Zinc,Zirconium,hasRings,
HIP 19026 A,2018-03-28 19:21:47,Star,F (White) Star,0,,,,,6199,,0.078046,12.386166,17.223696,5.2780982349537,,,138062.79111111,19.419055804088,,,,1,1,6036,V,6199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 1,2018-06-14 17:10:36,Planet,High metal content world,697.703674,,0.96192621245301,0.716923,5506.1735,783,No volcanism,0.000502,-0.046299,77.033043,0.91809705946759,,0.246948,562.78699074074,1.3987815674438,0,67.2305,32.7695,,,,,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 2,2018-06-14 17:11:48,Planet,High metal content world,990.158386,,0.86648660781217,0.549113,5077.319,265,No volcanism,2.9E-5,-0.679998,51.156689,1.3823504412616,,0.292821,950.8487962963,1.9842430085069,0,67.2305,32.7695,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 3,2018-06-14 17:14:03,Planet,Water world,1270.813965,,0.99670224679395,0.772522,5615.0965,264,No volcanism,0.000162,0.017054,313.083923,0.46242282443287,,1.594853,1382.4303703704,2.5465334639419,0,66.1958,33.8042,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 3 a,2018-06-14 17:14:58,Planet,Rocky body,1270.71875,1,0.3047733536663,0.042279,2375.51825,199,No volcanism,,-55.935448,304.82608,23.804008969907,1,-0.027232,23.178204571759,0.0021439128678721,0,86.1366,13.8634,,,,,199,,,,,15.4581,9.20931,5.45971,20.4773,,,0.894209,,15.4882,,9.89653,,,,2.87707,18.3829,0.732389,,,1.12441,,,,,,
HIP 19026 A 4,2018-06-14 17:17:44,Planet,High metal content world,2198.495117,,1.3893966047787,1.74572,7149.2205,424,Minor Silicate Vapour Geysers,0.000316,0.038191,116.401299,1.7815339265046,,2.742789,3146.6318518519,4.4064059048135,0,66.3202,33.6798,,,,,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 4 a,2018-06-14 17:18:36,Planet,Rocky body,2197.455811,,0.38918308371348,0.084058,2964.12875,192,No volcanism,,-67.356514,211.986526,21.642808159722,1,-0.263384,21.139837962963,0.0026404054960924,0,86.1366,13.8634,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 5,2018-06-14 17:20:55,Planet,High metal content world,3360.358887,,2.1121664072877,4.528369,9338.806,370,Major Silicate Vapour Geysers,0.004266,5.185512,172.084549,1.8094699435764,,2.622268,982.235,0.011091899478486,0,66.3723,33.6277,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 5 a,2018-06-14 17:21:45,Planet,Rocky body,3363.383301,,0.53892645504932,0.20556,3939.028,129,No volcanism,,-13.217013,163.010605,52.575896990741,1,-0.410942,51.421730324074,0.0065560424049538,0,86.1366,13.8634,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 6,2018-06-14 17:20:31,Planet,High metal content world,3335.270264,,1.2304585015515,1.320628,6607.5625,140,Major Rocky Magma,0.004266,5.185512,352.084564,0.90802598741898,,-0.170448,982.235,0.03976006623736,0,67.2305,32.7695,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 7,2018-06-14 17:22:45,Planet,Class I gas giant,4797.689453,,0.8469150274459,30.960613,38562.872,110,No volcanism,0.000742,0.499656,118.400986,1.6267417173032,,-0.135736,10131.239259259,9.6079097335441,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 A 7 a,2018-06-10 06:11:03,Planet,Icy body,4795.03125,1,0.057773213770551,0.001296,955.26475,98,No volcanism,6.8E-5,0.014672,150.027374,15.236614583333,1,0.451887,15.235230034722,0.0054491928540531,79.6238,18.5663,1.8099,,,,,98,,,,,22.4012,,,12.4834,,5.15553,0.545131,0.815161,9.44194,,14.3416,,,,4.16933,26.6397,,0.941493,,,3.0655,,,,,
HIP 19026 A 7 b,2018-06-10 06:09:32,Planet,Icy body,4792.779785,1,0.049987944633286,0.000835,824.318625,98,No volcanism,0.000163,-0.000986,124.805412,-42.789024884259,,-2.414155,42.785133101852,0.010846628821703,78.8577,19.2329,1.9094,,,,,98,,1.63816,,,22.3327,5.67423,,12.6169,,5.21064,0.550958,0.823875,9.54288,,14.2978,,,,,26.5582,,,,,,0.753591,,,,
HIP 19026 A 7 c,2018-06-10 06:10:21,Planet,Icy body,4795.351074,1,0.040594992483213,0.000455,675.2335,98,No volcanism,0.000208,0.094577,35.374752,74.708697916667,1,0.312049,74.701898148148,0.015727292942011,79.6238,18.5663,1.8099,,,,,98,0.797674,1.68687,,,23.2448,,,12.9535,,,,,9.7975,,14.8817,,,,4.32634,27.6428,,,0.776614,0.711278,3.18093,,,,,
HIP 19026 A 7 d,2018-06-10 06:08:45,Planet,Icy body,4795.110352,1,0.066225356454504,0.001939,1091.343,98,No volcanism,0.004894,-0.516493,94.611786,2.9352971281829,,-0.29981,186.64962962963,0.028959046620976,79.6238,18.5663,1.8099,,,,,98,,,,,22.2891,,3.61689,12.421,,5.12973,0.542403,,9.3947,,14.2699,,,,4.14847,26.5064,,0.936783,0.744686,,,,,,,
HIP 19026 B,2018-06-13 21:17:08,Star,K (Yellow-Orange) Star,30645.984375,,,,,3811,,0.078046,12.386166,197.223694,3.0013623046875,,,138062.79111111,42.693267358437,,,,,1,6036,Va,3811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 B 1,2018-06-13 21:18:53,Planet,Class II gas giant,30491.201172,,3.0887955576341,419.874908,74361.8,216,No volcanism,0.000131,0.160575,269.656799,1.2409895833333,,0.460328,566.82217592593,1.0808730117574,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 B 1 a,2018-06-10 06:25:53,Planet,Rocky body,30492.128906,,0.12979930635706,0.003855,1099.159,173,No volcanism,0.001537,-0.000569,332.317596,6.0485420283565,1,0.192182,6.0484168836806,0.0070190303851698,0,91.1175,8.8825,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 B 1 b,2018-06-10 06:25:01,Planet,Rocky body,30496.083984,,0.1330686784033,0.004148,1126.0715,170,No volcanism,0.002379,0.583133,136.792755,22.016960358796,1,0.175515,22.016507523148,0.0166091810022,0,91.1175,8.8825,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
